AQI,percentCO2,percentN2,percentO2,percentOthers,ppm_Alcohol,ppm_CO,ppm_CO2,ppm_NH3,ppm_NOx,ppm_VOC,ratio,rawADC
Unhealthy,0.19647640939095962,78.03974145377803,20.89639801752025,0.9124651123828857,97.93013403600993,49.10893407104939,2040.3775519502544,48.05017282776148,4.96213406043649,300.4743344374137,7.386954286802636,125
Unhealthy,0.1950699616753304,77.96793773936248,20.92416396373224,0.9715575266170302,99.32285922470963,47.60846031939889,2090.6574938386684,52.51942645600628,5.376870398513799,289.2574459065511,7.875432426409494,122
Healthy,0.03773171846369274,77.82913641892449,20.948788079573912,0.9286337766219823,0.10073799167101478,0.5860196215436526,398.0848694647839,0.6685621465195112,0.05280207382370688,57.16684320200087,2.13111710171965,196
Unhealthy,0.20298969525529342,78.09815686043278,20.848006053255787,0.9277075972971303,100.33621087000402,51.5145117247906,2019.7440155006682,56.043105542576555,4.950834706500518,307.23700020362816,8.232946871832542,113
Healthy,0.025359335777098826,77.53792280883034,20.707448450049082,0.9813402011700121,2.267782132951197,0.7857201496214132,377.3019075585547,0.2602628056839249,0.03274325386412504,42.0619523583239,2.555815624033279,193
Unhealthy,0.19252424310521604,77.99396538106316,20.96545325794714,0.835609599427599,99.92088932191243,48.36834322439253,2059.1639357133013,53.216092131747466,4.731802797935722,305.61073321445986,7.3407647326148435,112
Unhealthy,0.20130954298160522,77.36840139331149,20.94412615315637,0.94814353202561,98.28429344580807,46.417223535484325,2107.129746838243,47.73672694247835,5.439674757976556,304.64257979794735,7.552270425065166,110
Healthy,0.047656055669723585,77.96671719388532,20.834679842920544,0.9673419069473012,0.029374570965217277,0.4261800664218959,370.31468277303486,0.6915935909871388,0.013266324144801271,48.45016018769124,0.6949180698352957,175
Healthy,0.0449146691559928,77.77339977930286,20.82223244571961,0.9781627023162972,-1.502781871176106,0.5840462552963184,343.61317489877644,0.5168238527133889,0.061335849602456735,58.902390715624534,1.5290950147368243,195
Unhealthy,0.1855494072708828,77.84239140082266,20.799841135950576,0.9302412670152725,98.84706565187348,48.87256142983638,2013.1658349684124,54.08250071773765,5.079191481371152,300.4059283963841,7.372392996463553,126
Hazardous,0.19049346144332782,78.18588279635607,20.922384223693985,0.8826403404918967,99.52033266700131,49.14341912070377,7044.698343401988,51.61672810479675,4.9987498379183615,1192.9015303208557,35.98539989562774,17
